ID_,ACCOUNT_,MAPPING_RULESET_,NUMBER_
291d1362-ba76-11e4-8dfc-aa07a5b093db,4a51c9a6-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0280
291d148e-ba76-11e4-8dfc-aa07a5b093db,4a51cadc-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0285
291d19fc-ba76-11e4-8dfc-aa07a5b093db,4a51ccc6-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0290
291d166e-ba76-11e4-8dfc-aa07a5b093db,4a51ce06-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0300
291d18d0-ba76-11e4-8dfc-aa07a5b093db,4a51cf28-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0305
291d17ae-ba76-11e4-8dfc-aa07a5b093db,8b8b462c-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0310
65806f0c-ba76-11e4-8dfc-aa07a5b093db,8b8b48de-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0315
65806084-ba76-11e4-8dfc-aa07a5b093db,8b8b4bcc-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0320
65806d5e-ba76-11e4-8dfc-aa07a5b093db,8b8b4d3e-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0329
65806c1e-ba76-11e4-8dfc-aa07a5b093db,8b8b4e6a-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0330
65806afc-ba76-11e4-8dfc-aa07a5b093db,8b8b4f96-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0340
658069da-ba76-11e4-8dfc-aa07a5b093db,8b8b51b2-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0350
658068ae-ba76-11e4-8dfc-aa07a5b093db,8b8b52f2-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0360
6580675a-ba76-11e4-8dfc-aa07a5b093db,8b8b5504-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0370
65806426-ba76-11e4-8dfc-aa07a5b093db,8b8b5644-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0380
658062d2-ba76-11e4-8dfc-aa07a5b093db,d2a59404-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0390
90045b44-ba76-11e4-8dfc-aa07a5b093db,d2a59738-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0395
90045e82-ba76-11e4-8dfc-aa07a5b093db,d2a598a0-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0398
90045fe0-ba76-11e4-8dfc-aa07a5b093db,d2a599d6-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0400
9004636e-ba76-11e4-8dfc-aa07a5b093db,d2a59b0c-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0420
90046a9e-ba76-11e4-8dfc-aa07a5b093db,d2a59db4-ba6c-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0440
