DTYPE,TENANT_,ID_,DISPLAY_NUMBER_,DISPLAY_NAME_
BASE,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000003000,ADMIN,Administrator
BASE,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000003001,USER,Human User
BASE,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000003002,SYSTEM,Another System
